<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017  27  5 2503 51 51  61  38  10.4   8.5   9.4 132.6  -5.7   6.2   1.4   5.7   2.8   0.8   5.7   2.2   2.4   4.7  362286.   6.7  598.   4.5  -3.8 0.051   75533.   0.7   21.   2.1   3.4 0.015  4.82  -1.67   1.26   7.4  5.1 43  30   -17  32  77.9  408  -280   128 999.9  3.78 999999.99 99999.99 99999.99     0.20     0.11     0.08 -1
2017  27  6 2503 51 51  61  36   6.4   4.8   4.4 144.2  -3.9   2.8   0.4   2.7   0.9   1.0   4.0   1.4   2.2   3.0  313553.   4.1  635.   2.5  -2.4 0.054   59156.   0.6   14.   2.1   2.7 0.015  3.36  -0.57   1.84  10.0  6.2 40  30   -22  27  77.9  636  -507   129 999.9  3.78 999999.99 99999.99 99999.99     0.15     0.09     0.06 -1
2017  27  7 2503 51 51  60  37   6.1   4.9  15.0 149.9  -4.1   2.4   1.3   2.2   1.6   0.7   3.5   1.5   1.9   2.5  296540.   4.4  632.   2.6  -2.9 0.043   43785.   0.4   12.   1.9   2.4 0.012  3.44  -1.01   2.09  10.9  6.5 40  30   -28  27  77.9  273  -172   101 999.9  3.78 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  27  8 2503 51 51  59  35   7.3   7.1 -12.3 167.1  -6.7   1.5  -1.5   1.7  -1.3   0.2   1.8   0.3   1.3   1.2  236112.   4.3  605.   2.5  -1.6 0.033   51935.   0.4    7.   1.1   1.6 0.005  2.98   0.79   1.22   8.6  6.0 40  30   -24  27  77.9  399  -298   101 999.9  3.78 999999.99 99999.99 99999.99     0.18     0.11     0.07 -1
2017  27  9 2503 51 51  61  37   5.7   5.2 -17.6 163.9  -4.8   1.4  -1.6   1.5  -1.5   1.2   2.4   2.0   1.2   0.5  225737.   3.4  613.   2.3   0.2 0.036   43173.   0.3   10.   1.4   1.2 0.003  2.44   0.92   1.54   9.9  6.5 37  30   -22  22  77.9  335  -234   101 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  27 10 2503 51 51  60  37   4.8   3.4  18.2  99.6  -0.5   3.2   1.1   3.1   1.4   0.4   3.3   2.7   0.9   1.7  248901.   3.1  626.   0.8  -0.1 0.033   36623.   0.2   16.   1.3   1.1 0.003  2.30  -0.88   2.11  11.5  6.8 37  30   -20  22  77.9  391  -271   120 999.9  3.78 999999.99 99999.99 99999.99     0.20     0.09     0.07 -1
2017  27 11 2503 51 51  59  35   4.7   3.8 -36.8 174.9  -3.0   0.3  -2.3   0.5  -2.3   0.6   2.8   1.2   1.8   1.9  245768.   3.2  602.   3.0   2.3 0.038   47737.   0.2    6.   1.1   1.5 0.005  2.23   1.38   2.25  11.5  6.7 37  30   -14  22  77.9  476  -429    47 999.9  3.78 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017  27 12 2503 51 51  58  35   5.0   4.3 -17.9 154.0  -3.7   1.8  -1.3   1.9  -1.1   0.2   2.4   0.9   1.5   1.5  192879.   3.1  592.   1.5   2.1 0.037   37141.   0.2    7.   1.4   1.3 0.005  2.08   0.65   1.66  10.4  6.7 37  30   -13  22  77.9  729  -600   129 999.9  3.78 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  27 13 2503 51 51  60  35   5.0   4.5 -18.8 140.3  -3.3   2.7  -1.5   2.9  -1.2   0.3   2.0   0.8   1.0   1.5  191896.   3.4  586.   1.3   2.1 0.037   23657.   0.2    8.   1.0   1.2 0.007  2.24   0.70   1.81  10.8  6.7 37  30   -15  22  77.9  401  -271   130 999.9  3.78 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  27 14 2503 51 51  61  38   4.5   2.6 -26.6 203.9  -2.1  -0.9  -1.2  -0.7  -1.3   0.4   3.6   1.5   1.6   2.9  208984.   3.6  589.   3.6   1.9 0.045   35568.   0.2    9.   1.4   1.5 0.005  2.46   0.77   2.49  12.4  7.0 37  30   -12  22  77.9  223  -188    34 999.9  3.78 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  27 15 2503 51 51  58  35   3.2   1.8   4.0 129.8  -1.1   1.3   0.1   1.3   0.3   0.9   2.8   1.4   1.4   1.9  267435.   3.8  586.   3.0   1.2 0.047   47004.   0.3   10.   1.2   1.0 0.005  2.59  -0.18   6.11  17.8  7.1 33  30   -11  18  77.9  478  -391    86 999.9  3.78 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  27 16 2503 51 51  60  35   4.4   4.1   3.4 169.8  -4.0   0.7   0.2   0.6   0.4   0.2   1.4   0.4   1.1   0.8  215988.   3.6  567.   3.5   0.5 0.063   31203.   0.1    4.   3.0   1.7 0.009  2.42  -0.23   2.66  12.2  6.7 33  30   -10  18  77.9  143   -87    57 999.9  3.78 999999.99 99999.99 99999.99     0.20     0.09     0.06 -1
2017  27 17 2503 51 51  60  35   4.3   4.0  -2.8 144.7  -3.2   2.3  -0.2   2.3   0.4   0.2   1.5   0.8   0.9   0.9  255085.   3.7  567.   1.1   1.2 0.054   27364.   0.2    6.   1.5   1.2 0.006  2.42  -0.23   3.19  12.7  6.5 33  30   -11  18  77.9   89   -72    17 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017  27 18 2503 51 51  59  36   4.5   4.3 -13.9 164.4  -4.1   1.1  -1.0   1.4  -0.6   0.1   1.1   0.4   0.8   0.6  198531.   3.7  563.   2.8   2.3 0.047   38022.   0.2    6.   1.8   1.5 0.008  2.33   0.34   2.48  12.0  6.8 13  30   -14   5  77.9   91   -60    31 999.9  3.78 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  27 19 2503 51 51  61  35   4.6   4.3   3.0 174.0  -4.2   0.4   0.2   0.3   0.3   0.1   1.7   0.4   0.9   1.4  186389.   3.9  556.   3.3   1.3 0.047   44967.   0.2    5.   1.3   1.4 0.010  2.39  -0.17   2.41  11.9  6.8 13  30   -14   5  77.9  112   -86    26 999.9  3.78 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  27 20 2503 51 51  62  37   4.7   2.9  10.4 118.8  -1.4   2.5   0.5   2.1   1.4   0.3   3.5   2.0   2.3   1.7  184456.   3.3  572.   0.9   1.9 0.034   28542.   0.3   11.   1.9   1.4 0.003  2.05  -0.80   1.94  11.1  6.8 13  30   -14   5  77.9   88   -60    28 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  27 21 2503 51 51  59  34   4.5   4.0 -22.9  97.5  -0.5   3.6  -1.5   3.9   0.1   0.3   2.0   1.6   0.6   1.0  212817.   3.6  571.   0.4   3.1 0.033   34860.   0.2   13.   0.9   1.0 0.003  2.22  -0.06   2.52  12.0  6.7 17  30   -16   6  77.9  125  -107    18 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  27 22 2503 51 51  55  33   4.7   4.2  10.9 125.5  -2.4   3.4   0.8   2.7   2.2   0.1   2.0   1.3   0.9   1.2  243325.   3.6  548.  -0.4   1.0 0.035   33221.   0.2   13.   1.7   1.7 0.003  2.06  -1.21   2.52  11.1  6.2 17  30   -17   6  77.9  144  -127    17 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  27 23 2503 51 51  60  36   5.0   4.6  26.4 152.3  -3.6   1.9   2.0   0.9   2.6   0.2   1.8   0.7   1.1   1.2  211716.   3.7  535.   1.5   0.7 0.036   36725.   0.4    8.   1.5   1.0 0.003  2.02  -1.39   2.09  10.3  6.1 17  30   -15   6  77.9   66   -52    14 999.9  3.78 999999.99 99999.99 99999.99     0.20     0.11     0.08 -1
2017  28  0 2503 51 51  59  33   5.0   4.6   3.3 163.0  -4.4   1.4   0.3   1.1   0.9   0.2   1.8   0.7   1.1   1.2  140793.   4.9  519.   1.7   1.3 0.038   33521.   0.4    6.   1.2   1.3 0.007  2.54  -0.47   2.19  11.5  6.8 30  30   -10  15  76.1   54   -35    19 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.08     0.06 -1
2017  28  1 2503 51 51  61  37   5.1   4.2 -37.3  69.3   1.2   3.1  -2.6   3.9  -1.1   0.3   2.8   1.9   1.5   1.4  105520.   5.0  537.  -0.1   2.2 0.046   21679.   0.6    9.   1.0   0.8 0.011  2.85   0.59   1.87  11.8  7.3 30  30    -9  15  76.1   45   -25    20 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  28  2 2503 51 51  60  36   5.6   5.3 -36.9  58.1   2.2   3.6  -3.2   4.5  -1.6   0.2   1.9   0.8   0.8   1.6   98859.   5.8  540.  -0.5   2.0 0.054   10894.   0.3    4.   0.6   0.5 0.004  3.43   0.86   1.75  11.6  7.3 30  30    -7  15  76.1  303  -224    79 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  28  3 2503 51 51  60  37   5.5   5.0 -45.3  57.2   1.9   3.0  -3.6   4.0  -2.4   0.5   2.1   0.6   1.8   0.9  104625.   6.5  531.  -0.1   1.4 0.050   10607.   0.5    4.   1.3   0.5 0.003  3.67   1.27   2.08  12.3  7.4 30  30    -8  15  76.1  466  -375    91 999.9  3.77 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  28  4 2503 51 51  61  35   6.2   6.0 -30.8  66.1   2.1   4.7  -3.1   5.4  -1.6   0.2   1.4   0.6   0.8   1.1  108414.   6.8  535.  -1.4   2.0 0.043   16789.   0.5    4.   0.6   0.6 0.005  3.81   0.86   1.74  11.3  7.1 30  30   -10  15  76.1  230  -123   107 999.9  3.77 999999.99 99999.99 99999.99     0.19     0.11     0.08 -1
2017  28  5 2503 51 51  59  36   5.3   3.8 -11.9  78.5   0.7   3.6  -0.8   3.7   0.1   0.8   3.6   1.5   2.0   2.6  149389.   6.5  533.  -1.2   1.3 0.043   33098.   0.6    5.   1.6   1.0 0.007  3.61  -0.05   2.67  12.8  7.0 30  30   -11  15  76.1  185   -71   114 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  28  6 2503 51 51  62  38   5.1   4.7  -0.1  65.7   1.9   4.2   0.0   4.1   0.8   0.5   2.0   1.2   0.8   1.3  146948.   4.9  544.  -1.7   0.7 0.045   18437.   0.5    7.   0.7   0.5 0.003  2.86  -0.44   2.16  11.8  7.0 17  30   -13   6  76.1   80   -21    59 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  28  7 2503 51 51  57  33   4.1   1.2   4.4 125.7  -0.7   1.0   0.1   1.0   0.3   0.8   4.0   3.0   2.2   1.4  188809.   5.1  537.   0.3  -0.3 0.048   61246.   0.6   13.   1.8   0.7 0.005  2.93  -0.16   4.00  14.8  7.0 17  30   -12   6  76.1   57   -29    28 999.9  3.77 999999.99 99999.99 99999.99     0.20     0.11     0.07 -1
2017  28  8 2503 51 51  63  36   4.6   1.1  14.1  78.4   0.2   1.1   0.3   1.1   0.4   0.4   4.4   3.4   1.7   2.3  157618.   5.0  556.  -0.2   1.4 0.038   31166.   0.4   13.   1.2   1.3 0.005  2.97  -0.22   2.81  13.5  7.3 17  30   -12   6  76.1   60   -41    19 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  28  9 2503 51 51  59  36   5.4   5.2  28.1 183.3  -4.6  -0.3   2.4  -0.5   2.4   0.2   1.3   0.3   1.2   0.3  137857.   4.5  542.   0.8   0.6 0.036   22865.   0.3    3.   0.8   0.6 0.008  2.53  -1.30   1.71  10.6  6.8 10  30   -14   4  76.1   56   -41    15 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  28 10 2503 51 51  60  37   5.9   5.9  18.1 187.4  -5.6  -0.7   1.8  -0.9   1.7   0.2   0.7   0.3   0.5   0.4  104754.   4.0  541.   1.3   0.0 0.033   13528.   0.2    1.   0.6   0.4 0.003  2.21  -0.92   1.11   9.2  6.5 10  30   -10   4  76.1   62   -44    19 999.9  3.77 999999.99 99999.99 99999.99     0.18     0.12     0.08 -1
2017  28 11 2503 51 51  60  36   6.3   6.3  12.8 186.4  -6.1  -0.7   1.4  -0.8   1.3   0.1   0.6   0.1   0.5   0.4  145246.   4.3  543.   0.6  -0.0 0.042   24545.   0.3    3.   0.9   0.9 0.004  2.47  -0.71   1.23   8.9  6.2 10  30   -10   4  76.1   37   -19    17 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  28 12 2503 51 51  60  35   6.9   6.8  15.6 183.6  -6.6  -0.4   1.8  -0.6   1.7   0.4   0.8   0.4   0.7   0.3  109496.   4.6  538.   0.5   0.7 0.049   13461.   0.2    4.   0.8   0.7 0.009  2.66  -0.91   0.96   8.4  6.2  7  30    -9   3  76.1   44   -27    17 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  28 13 2503 51 51  59  36   6.7   6.4  11.4 169.7  -6.2   1.1   1.3   0.9   1.4   0.6   2.0   1.0   1.7   0.6  147598.   4.9  529.   0.2  -0.7 0.053   32438.   0.5    6.   1.3   1.1 0.011  2.78  -0.74   1.25   8.7  6.1  7  30    -8   3  76.1   23   -10    13 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017  28 14 2503 51 51  58  35   6.5   6.3   7.8 171.2  -6.2   1.0   0.9   0.8   1.0   0.2   1.6   0.5   1.5   0.4  149993.   5.1  524.  -0.7  -2.0 0.055   34399.   0.3    6.   1.4   0.8 0.013  2.85  -0.52   1.40   9.1  6.1  7  30    -6   3  76.1   21   -14     7 999.9  3.77 999999.99 99999.99 99999.99     0.19     0.11     0.08 -1
2017  28 15 2503 51 51  59  36   6.8   6.7   1.0 181.2  -6.7  -0.1   0.1  -0.1   0.1   0.3   1.2   0.3   0.8   0.8  134325.   4.8  514.   0.2  -1.7 0.057   25129.   0.4    6.   0.8   0.7 0.015  2.60  -0.05   1.13   8.3  5.9 10  30    -8   4  76.1   42   -34     7 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  28 16 2503 51 51  60  36   6.0   5.7  -9.7 155.7  -5.2   2.3  -1.0   2.5  -0.4   0.6   1.6   0.9   0.9   0.8  184486.   4.8  507.  -1.1  -1.2 0.066   37536.   0.3    3.   1.2   0.7 0.010  2.60   0.20   1.74   9.3  5.9 10  30   -10   4  76.1   80   -76     4 999.9  3.77 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  28 17 2503 51 51  60  36   5.3   5.0  11.1 150.0  -4.2   2.4   1.0   2.0   1.6   0.8   2.1   1.6   1.2   0.4  177163.   5.2  501.  -1.1  -2.0 0.060   30623.   0.5    4.   1.4   0.7 0.009  2.70  -0.80   2.35  10.8  6.2 10  30    -9   4  76.1  148  -139     9 999.9  3.77 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  28 18 2503 51 51  60  36   5.2   4.9  11.7 129.5  -3.1   3.7   1.0   3.2   2.1   0.4   1.6   1.0   0.8   0.9  193599.   5.6  498.  -1.1  -2.4 0.057   27156.   0.4    5.   0.9   0.9 0.006  2.85  -1.05   2.77  11.3  6.1 20  30    -9   7  76.1  230  -204    26 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  28 19 2503 51 51  58  36   5.7   5.6  -4.6 167.6  -5.5   1.2  -0.5   1.3   0.0   0.2   1.0   0.4   0.6   0.7  163819.   5.4  484.   0.3  -1.9 0.046   17687.   0.3    4.   1.7   1.3 0.005  2.50  -0.00   2.02   9.9  6.0 20  30    -8   7  76.1  186  -157    29 999.9  3.77 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  28 20 2503 51 51  60  35   6.1   6.0 -11.0 174.1  -5.8   0.6  -1.1   1.0  -0.8   0.2   1.1   0.2   1.0   0.6  148309.   5.3  483.   2.1  -1.8 0.041   12823.   0.2    3.   1.4   0.8 0.003  2.40   0.39   1.64   9.1  5.9 20  30    -9   7  76.1   90   -64    25 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  28 21 2503 51 51  59  36   6.6   6.6  -5.7 171.8  -6.5   0.9  -0.6   1.1  -0.2   0.2   0.9   0.2   0.2   0.8  149902.   5.3  479.   1.8  -3.0 0.050   20500.   0.2    3.   1.0   1.2 0.003  2.44   0.10   1.41   8.4  5.6 33  30   -14  18  76.1  321  -279    42 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
2017  28 22 2503 51 51  60  36   6.6   6.5  -7.7 167.0  -6.3   1.5  -0.9   1.7  -0.2   0.1   0.5   0.1   0.4   0.3  154924.   4.9  477.   1.3  -1.6 0.052   27131.   0.3    5.   1.0   1.0 0.003  2.25   0.10   1.33   8.0  5.5 33  30   -13  18  76.1  310  -288    22 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.10     0.06 -1
2017  28 23 2503 51 51  59  36   6.4   6.3 -11.3 161.0  -5.9   2.0  -1.2   2.3  -0.2   0.2   0.6   0.3   0.5   0.2  154472.   5.0  478.   1.5  -1.3 0.058   21166.   0.4    5.   1.1   1.0 0.006  2.35   0.10   1.44   8.4  5.6 33  30   -10  18  76.1  102   -71    32 999.9  3.77 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  29  0 2503 51 51  58  34   5.8   5.8 -13.8 155.9  -5.1   2.3  -1.4   2.7  -0.3   0.3   0.8   0.3   0.4   0.6  123153.   5.6  460.  -0.8  -0.9 0.067   47476.   0.4    8.   1.7   1.0 0.008  2.51   0.14   1.74   9.4  5.9 27  34    -9  12  74.4   45   -31    14 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  29  1 2503 51 51  59  32   6.1   6.1 -16.7 166.6  -5.7   1.3  -1.7   1.9  -1.0   0.4   0.7   0.5   0.4   0.3   78987.   5.7  447.   0.0   0.6 0.069   18564.   0.3    5.   2.1   1.6 0.006  2.43   0.45   1.32   8.7  6.0 27  34   -11  12  74.4   78   -55    23 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  29  2 2503 51 51  60  37   6.9   6.8 -14.3 166.1  -6.4   1.6  -1.7   2.1  -1.0   0.2   0.7   0.2   0.6   0.3  101170.   5.0  454.   0.7  -1.7 0.052   14868.   0.3    6.   0.7   0.9 0.003  2.08   0.45   1.00   7.4  5.4 27  34   -11  12  74.4  111   -79    32 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017  29  3 2503 51 51  59  36   5.8   5.3 -13.5 130.5  -3.3   3.9  -1.2   4.1   0.2   0.4   2.4   1.7   1.5   0.6   82513.   5.5  442.  -1.2  -1.4 0.053   14625.   0.6    6.   1.2   1.0 0.008  2.17  -0.09   1.43   8.9  6.0 23  34   -11   9  74.4   56   -30    27 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  29  4 2503 51 51  59  35   5.8   5.7 -11.0 164.1  -5.4   1.5  -1.1   1.8  -0.6   0.2   0.9   0.4   0.7   0.3   72623.   4.4  428.  -0.8  -1.2 0.048   25780.   0.7    4.   1.5   0.8 0.011  1.60   0.26   1.09   7.7  5.5 23  34   -14   9  74.4   93   -37    56 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  29  5 2503 51 51  60  37   5.8   5.8  -9.4 177.6  -5.7   0.2  -0.9   0.4  -0.8   0.1   0.7   0.1   0.6   0.3   48418.   3.7  431.   1.0  -1.3 0.039    4967.   0.3    3.   1.1   0.5 0.003  1.33   0.34   0.81   7.1  5.5 23  34   -14   9  74.4  186  -137    49 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  29  6 2503 51 51  60  35   5.5   5.5   2.7 189.8  -5.4  -0.9   0.3  -0.9   0.1   0.1   0.5   0.1   0.4   0.4   68935.   4.3  435.   2.3  -0.9 0.038    8782.   0.4    3.   0.8   1.0 0.003  1.57  -0.04   1.17   8.2  5.8 17  34   -13   6  74.4  138   -86    52 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.06 -1
2017  29  7 2503 51 51  60  35   5.7   5.6  -0.7 189.8  -5.6  -1.0  -0.1  -1.0  -0.3   0.1   0.6   0.1   0.4   0.5  100055.   4.6  427.   2.2  -1.6 0.044   22207.   0.4    3.   1.0   1.2 0.005  1.65   0.13   1.35   8.0  5.5 17  34   -12   6  74.4   85   -25    60 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  29  8 2503 51 51  59  37   5.8   5.6   2.6 174.8  -5.6   0.5   0.3   0.5   0.4   0.1   1.2   0.1   1.1   0.4   95229.   4.9  424.   0.7  -2.3 0.038   16648.   0.4    3.   1.3   0.9 0.002  1.69  -0.17   1.35   8.1  5.5 17  34   -11   6  74.4   41   -18    23 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  29  9 2503 51 51  60  36   5.8   5.8 -12.8 174.7  -5.6   0.5  -1.3   0.6  -1.2   0.1   0.7   0.2   0.6   0.4  115359.   5.0  422.   0.3   0.1 0.037   32451.   0.6    4.   1.2   1.5 0.003  1.71   0.51   1.51   8.1  5.4 13  34   -10   5  74.4  101   -77    24 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  29 10 2503 51 51  63  37   5.4   4.9 -10.0 161.9  -4.6   1.5  -0.9   1.6  -0.8   0.4   2.2   0.9   1.1   1.7  111194.   5.4  432.  -0.8  -0.6 0.040   24686.   0.6   10.   1.2   1.5 0.007  1.95   0.35   1.85   9.3  5.8 13  34   -10   5  74.4  207  -174    34 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  29 11 2503 51 51  60  36   5.1   4.6 -30.8 185.4  -4.0  -0.4  -2.4  -0.2  -2.4   0.1   2.1   0.4   1.4   1.5   70680.   5.3  446.   1.2   0.8 0.040    7464.   0.3    4.   1.2   0.8 0.006  2.04   1.07   1.69  10.1  6.4 13  34    -6   5  74.4  287  -230    56 999.9  3.74 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017  29 12 2503 51 51  64  39   5.2   4.7 -41.4 175.5  -3.5   0.3  -3.1   0.6  -3.0   0.2   2.3   1.5   1.6   0.6   65647.   5.2  447.   1.1   1.2 0.044    8559.   0.3    9.   1.1   0.6 0.004  2.04   1.34   1.55   9.8  6.4 20  34    -2   7  74.4  315  -258    56 999.9  3.74 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  29 13 2503 51 51  55  31   5.0   3.6 -61.2 151.0  -1.5   0.8  -3.1   1.2  -3.0   0.2   3.5   2.3   2.2   1.4   64398.   4.8  454.   0.9   2.0 0.041    7376.   0.4   12.   1.7   1.0 0.004  1.92   1.36   1.54   9.9  6.5 20  34    -5   7  74.4  240  -172    67 999.9  3.74 999999.99 99999.99 99999.99     0.20     0.09     0.06 -1
2017  29 14 2503 51 51  62  36   3.9   3.0 -35.8  90.7   0.0   2.4  -1.7   2.6  -1.3   0.9   2.6   1.7   0.9   1.6   69809.   4.7  454.   0.1   1.9 0.042   15803.   0.6   11.   1.0   1.2 0.005  1.89   0.59   2.55  12.6  7.1 20  34    -7   7  74.4  149   -75    74 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  29 15 2503 51 51  62  34   3.4   2.6 -27.8 159.4  -2.2   0.8  -1.2   1.0  -1.0   0.6   2.2   1.8   0.9   0.9   90297.   4.7  441.  -0.3   1.5 0.042   26017.   0.6   13.   1.9   1.2 0.006  1.78   0.44   3.70  14.1  6.9 17  34    -4   6  74.4  100   -75    25 999.9  3.74 999999.99 99999.99 99999.99     0.15     0.09     0.07 -1
2017  29 16 2503 51 51  56  33   3.7   3.3 -25.0 135.8  -2.2   2.1  -1.4   2.4  -0.8   0.8   1.7   1.2   0.9   0.8   83917.   4.5  438.  -2.1   1.3 0.042   21123.   0.5   10.   0.9   0.9 0.003  1.68   0.35   2.90  12.6  6.7 17  34    -4   6  74.4  118  -106    12 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  29 17 2503 51 51  63  39   3.7   3.1 -29.1 133.4  -1.8   2.0  -1.5   2.3  -0.9   0.4   2.1   1.9   0.7   0.6   75081.   4.7  436.  -2.6   1.9 0.041   10113.   0.4   10.   0.9   1.1 0.004  1.74   0.39   2.91  12.8  6.8 17  34    -5   6  74.4  164  -145    19 999.9  3.74 999999.99 99999.99 99999.99     0.21     0.10     0.07 -1
2017  29 18 2503 51 51  55  33   2.8   1.2 -14.6  17.1   1.1   0.3  -0.3   0.4  -0.2   0.5   2.5   2.2   1.0   0.8   86680.   5.6  448.  -1.0   0.8 0.037   15080.   0.6   14.   1.4   0.8 0.004  2.15   0.09   6.39  18.9  7.4 13  34    -9   5  74.4  126  -102    24 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  29 19 2503 51 51  63  38   3.4   2.9  -1.0 132.5  -2.0   2.2  -0.1   2.1   0.7   0.4   1.7   1.3   0.9   0.6   81728.   5.5  434.  -2.5   0.9 0.043   23519.   0.6    7.   0.7   0.9 0.005  2.03  -0.30   4.16  15.0  7.0 13  34    -7   5  74.4   72   -40    32 999.9  3.74 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  29 20 2503 51 51  56  31   3.3   1.7 -25.6  64.1   0.7   1.4  -0.7   1.6  -0.1   0.6   2.8   2.7   0.7   0.4   81715.   5.3  439.  -2.3   1.3 0.036   12810.   0.4   14.   1.0   0.9 0.003  1.95   0.04   4.25  15.3  7.1 13  34    -7   5  74.4   37   -20    17 999.9  3.74 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
