<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017   2 14 2502 51 51  59  36   4.7   4.5 -54.4 102.8  -0.6   2.6  -3.7   2.6  -3.7   0.6   1.5   0.6   0.9   1.0   51044.   6.9  393.   0.8  -0.2 0.037    8327.   1.0    2.   0.5   0.3 0.003  2.04   1.45   2.33  11.0  6.3 13  12   -28   5  70.6  441  -321   120 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   2 15 2502 51 51  59  35   4.4   4.3 -37.4 108.6  -1.1   3.3  -2.6   3.4  -2.5   0.2   0.9   0.5   0.4   0.6   51516.   6.9  390.   0.4  -0.8 0.037    3914.   0.5    1.   0.4   0.4 0.002  2.01   0.97   2.67  11.6  6.4 20  12   -27   7  70.6  338  -219   118 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   2 16 2502 51 51  59  34   4.8   4.7 -29.1 128.2  -2.6   3.2  -2.3   3.4  -2.1   0.1   1.0   0.8   0.3   0.5   47357.   6.4  385.   1.1  -1.7 0.039    7351.   0.7    4.   0.8   0.6 0.003  1.83   0.81   2.03  10.1  6.1 20  12   -24   7  70.6  251  -172    80 999.9  3.72 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017   2 17 2502 51 51  60  36   5.1   5.1  -8.5 135.9  -3.6   3.5  -0.7   3.6  -0.3   0.1   0.6   0.2   0.3   0.5   48937.   6.3  381.   0.7  -1.7 0.041    7997.   0.4    3.   0.8   0.4 0.004  1.78   0.11   1.79   9.4  5.9 20  12   -22   7  70.6  281  -221    60 999.9  3.72 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017   2 18 2502 51 51  59  36   5.1   5.1  -3.6 132.1  -3.4   3.8  -0.3   3.8   0.3   0.2   0.6   0.3   0.3   0.5   49960.   7.0  377.   0.4  -1.6 0.039    3269.   0.3    1.   0.3   0.3 0.002  1.92  -0.11   2.00   9.8  5.9  3  12   -19   2  70.6  102   -67    35 999.9  3.72 999999.99 99999.99 99999.99     0.20     0.11     0.08 -1
2017   2 19 2502 51 51  59  36   5.5   5.4 -11.8 130.3  -3.4   4.1  -1.1   4.2  -0.2   0.1   0.7   0.4   0.3   0.4   47051.   6.9  370.  -0.9  -0.9 0.037    3292.   0.3    2.   0.4   0.4 0.003  1.81   0.07   1.66   8.8  5.7  3  12   -17   2  70.6   36   -24    12 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
2017   2 20 2502 51 51  63  37   6.9   6.9   5.3 144.7  -5.6   3.9   0.6   3.7   1.5   0.5   1.1   0.8   0.5   0.6   38346.   6.3  381.  -0.7  -0.5 0.032    4028.   1.2    8.   0.6   0.6 0.007  1.72  -0.57   0.92   6.9  5.2  3  12   -16   2  70.6   31   -22     8 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   2 21 2502 51 51  60  37   7.0   6.9  10.7 150.2  -5.9   3.4   1.3   2.9   2.1   0.3   1.1   0.4   0.6   0.8   45744.   8.4  385.  -0.6   0.1 0.033    9343.   1.1    3.   0.7   0.5 0.014  2.35  -0.81   1.24   8.0  5.5  7  12   -14   3  70.6   31   -18    12 999.9  3.72 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017   2 22 2502 51 51  60  36   7.4   7.3  11.9 155.1  -6.5   3.0   1.5   2.5   2.3   0.3   0.9   0.5   0.6   0.4   55268.   6.3  387.   0.1   0.5 0.057    5673.   1.0    2.   0.5   0.4 0.003  1.93  -0.89   0.88   6.6  4.9  7  12   -14   3  70.6   48   -29    19 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   2 23 2502 51 51  57  35   6.6   6.5   4.6 146.2  -5.4   3.6   0.5   3.3   1.5   0.3   1.2   0.7   0.5   0.8   74695.   8.4  377.   0.1   0.5 0.049   11839.   1.2    6.   0.7   0.7 0.005  2.38  -0.57   1.63   8.3  5.3  7  12    -9   3  70.6   40   -18    22 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
